nombre_usuario	pass_codificada				pass
abel		1f32aa4c9a1d2ea010adcf2348166a04	12345
admin		c3284d0f94606de1fd2af172aba15bf3	admin
alonso		1f32aa4c9a1d2ea010adcf2348166a04	12345
alejandro	1f32aa4c9a1d2ea010adcf2348166a04	12345
antonio 	1f32aa4c9a1d2ea010adcf2348166a04	12345
carlos		1f32aa4c9a1d2ea010adcf2348166a04	12345
chari		1f32aa4c9a1d2ea010adcf2348166a04	12345
german  	1f32aa4c9a1d2ea010adcf2348166a04	12345
isaac		1f32aa4c9a1d2ea010adcf2348166a04	12345
javier		1f32aa4c9a1d2ea010adcf2348166a04	12345
jorge		1f32aa4c9a1d2ea010adcf2348166a04	12345
josec		1f32aa4c9a1d2ea010adcf2348166a04	12345
manolo		1f32aa4c9a1d2ea010adcf2348166a04	12345
marina		1f32aa4c9a1d2ea010adcf2348166a04	12345
pepe		1f32aa4c9a1d2ea010adcf2348166a04	12345
ruben		1f32aa4c9a1d2ea010adcf2348166a04	12345
vanesa		1f32aa4c9a1d2ea010adcf2348166a04	12345
